time,regions,populationin1
2015,EEU,1.1246568826975714e8
2015,FSU,2.989497589150444e8
2015,MDE,3.053174669626677e8
2015,CAM,1.4969949248708555e8
2015,LAM,4.167287218868073e8
2015,SAS,1.6909911191178598e9
2015,SEA,6.94448150090638e8
2015,CHI,1.4273439177179809e9
2015,MAF,1.8843410375046712e8
2015,SSA,9.58313616733606e8
2015,SIS,5.4129668640959e7
2016,USA,3.292989048670605e8
2016,CAN,3.850197048822829e7
2016,WEU,4.273574397347127e8
2016,JPK,1.8420372751180145e8
2016,ANZ,2.862908419750647e7
2016,EEU,1.1214680757055615e8
2016,FSU,2.997608972628292e8
2016,MDE,3.099841948457664e8
2016,CAM,1.5173389760142377e8
2016,LAM,4.206481523405735e8
2016,SAS,1.7126840964740145e9
2016,SEA,7.016072896436203e8
2016,CHI,1.4313880419038823e9
2016,MAF,1.9158382136581686e8
2016,SSA,9.845395525648509e8
2016,SIS,5.46514688408742e7
2017,USA,3.3107334677114886e8
2017,CAN,3.870919472487836e7
2017,WEU,4.2791855680511045e8
2017,JPK,1.8401589177756044e8
2017,ANZ,2.88036423424007e7
2017,EEU,1.1182818099169998e8
2017,FSU,3.0057337243402696e8
2017,MDE,3.1464828165407395e8
2017,CAM,1.5376683836434633e8
2017,LAM,4.245665051456329e8
2017,SAS,1.7343770287499561e9
2017,SEA,7.08765663436599e8
2017,CHI,1.4354320677302604e9
2017,MAF,1.947368766319394e8
2017,SSA,1.0107806037849691e9
2017,SIS,5.5173190460491106e7
2018,USA,3.3284923584213394e8
2018,CAN,3.8916682951077916e7
2018,WEU,4.284798141906846e8
2018,JPK,1.838279240882621e8
2018,ANZ,2.8978200493099492e7
2018,EEU,1.1150976898248719e8
2018,FSU,3.013866621939793e8
2018,MDE,3.193099222412176e8
2018,CAM,1.5579811480621743e8
2018,LAM,4.284837514875155e8
2018,SAS,1.7560666014726722e9
2018,SEA,7.15922811092918e8
2018,CHI,1.4394756982703924e9
2018,MAF,1.9788858834907168e8
2018,SSA,1.0370178261940571e9
2018,SIS,5.569452053010283e7
2019,USA,3.3462655861871433e8
2019,CAN,3.9124434308324374e7
2019,WEU,4.290412068457911e8
2019,JPK,1.8363982416269675e8
2019,ANZ,2.9152758631295923e7
2019,EEU,1.1119157530181107e8
2019,FSU,3.022007437608001e8
2019,MDE,3.239691159256237e8
2019,CAM,1.5782776586630145e8
2019,LAM,4.323999009288192e8
2019,SAS,1.7777531891802094e9
2019,SEA,7.230787777591368e8
2019,CHI,1.4435189245642793e9
2019,MAF,2.0103941417048395e8
2019,SSA,1.0632521614518648e9
2019,SIS,5.621549034183517e7
2020,USA,3.364053093491832e8
2020,CAN,3.933244794376241e7
2020,WEU,4.296027359180681e8
2020,JPK,1.8345159178573397e8
2020,ANZ,2.9327316763074398e7
2020,EEU,1.1087359920536081e8
2020,FSU,3.030155807504934e8
2020,MDE,3.286259051208526e8
2020,CAM,1.5985580957928512e8
2020,LAM,4.363149606996586e8
2020,SAS,1.7994367240243948e9
2020,SEA,7.302335598243357e8
2020,CHI,1.4475617256920285e9
2020,MAF,2.0418925558909073e8
2020,SSA,1.089483107057274e9
2020,SIS,5.6736097164201714e7
2021,USA,3.380397055514587e8
2021,CAN,3.9513550341716684e7
2021,WEU,4.2992412162197775e8
2021,JPK,1.8304903410610542e8
2021,ANZ,2.9479326070066098e7
2021,EEU,1.1049214444039571e8
2021,FSU,3.0340652540406305e8
2021,MDE,3.3288315593200797e8
2021,CAM,1.617737749600047e8
2021,LAM,4.3967352817236865e8
2021,SAS,1.8196237551386158e9
2021,SEA,7.36499116176262e8
2021,CHI,1.4495642746498716e9
2021,MAF,2.0695905367436722e8
2021,SSA,1.1164771134128928e9
2021,SIS,5.719271857977033e7
2022,USA,3.396753685878709e8
2022,CAN,3.9694857884845026e7
