time,regions,populationin1
2010,SSA,8.061014780556949e8
2010,SIS,5.1396518211971864e7
2011,USA,2.947772765766256e8
2011,CAN,3.3217500384762872e7
2011,WEU,3.937255695061289e8
2011,JPK,1.877253359850584e8
2011,ANZ,2.292443050681538e7
2011,EEU,1.2644251138302335e8
2011,FSU,2.927217283590131e8
2011,MDE,2.987136329207966e8
2011,CAM,1.5004293460125265e8
2011,LAM,4.0314026699017423e8
2011,SAS,1.6110568963451664e9
2011,SEA,6.073064209283768e8
2011,CHI,1.4373116259005873e9
2011,MAF,1.8054026190661612e8
2011,SSA,8.241079616911575e8
2011,SIS,5.1907830781025894e7
2012,USA,2.95460240253184e8
2012,CAN,3.329522180736098e7
2012,WEU,3.941052171125469e8
2012,JPK,1.8950936115564266e8
2012,ANZ,2.314385195474813e7
2012,EEU,1.2656247511950803e8
2012,FSU,2.9298490232496166e8
2012,MDE,3.045379634828588e8
2012,CAM,1.515053937067892e8
2012,LAM,4.070692831818559e8
2012,SAS,1.6307807964800434e9
2012,SEA,6.147442736685846e8
2012,CHI,1.4477267565977018e9
2012,MAF,1.8450708549937707e8
2012,SSA,8.421084924219744e8
2012,SIS,5.241132606465174e7
2013,USA,2.960858081574352e8
2013,CAN,3.336648605339311e7
2013,WEU,3.9446574997837394e8
2013,JPK,1.9121558493498507e8
2013,ANZ,2.3353809071923707e7
2013,EEU,1.2667623032985465e8
2013,FSU,2.932341809547104e8
2013,MDE,3.1032359964222205e8
2013,CAM,1.52944240507743e8
2013,LAM,4.109348498205855e8
2013,SAS,1.6503386234836264e9
2013,SEA,6.221195527693201e8
2013,CHI,1.4578554885761008e9
2013,MAF,1.8846892128543347e8
2013,SSA,8.600846744694786e8
2013,SIS,5.290661053493328e7
2014,USA,2.966535970838122e8
2014,CAN,3.3431249558910005e7
2014,WEU,3.948071123966149e8
2014,JPK,1.9284156190322104e8
2014,ANZ,2.3554005318590038e7
2014,EEU,1.2678375950558813e8
2014,FSU,2.934695053683312e8
2014,MDE,3.160640013729959e8
2014,CAM,1.5435852541453132e8
2014,LAM,4.1473441564859706e8
2014,SAS,1.6697185639001904e9
2014,SEA,6.294278040754219e8
2014,CHI,1.4676906821341474e9
2014,MAF,1.9242169874193808e8
2014,SSA,8.780180223464825e8
2014,SIS,5.339335649584536e7
2015,USA,2.971633172897855e8
2015,CAN,3.348947282498056e7
2015,WEU,3.9512925283402246e8
2015,JPK,1.9438494392610738e8
2015,ANZ,2.37441490989506e7
2015,EEU,1.2688504606790979e8
2015,FSU,2.936908198165198e8
2015,MDE,3.2175256893652636e8
2015,CAM,1.5574730801677126e8
2015,LAM,4.184654539652101e8
2015,SAS,1.6889087919671562e9
2015,SEA,6.366645689820057e8
2015,CHI,1.4772253652964823e9
2015,MAF,1.9636127110141942e8
2015,SSA,8.958897036973673e8
2015,SIS,5.3871239033856556e7
2016,USA,2.976145943351222e8
2016,CAN,3.354111967792868e7
2016,WEU,3.9543212004371476e8
2016,JPK,1.958434853406085e8
2016,ANZ,2.3923964225543544e7
2016,EEU,1.2698007436655784e8
2016,FSU,2.9389807121678e8
2016,MDE,3.27382654989976e8
2016,CAM,1.5710965803774834e8
2016,LAM,4.221254655212449e8
2016,SAS,1.7078974841536565e9
2016,SEA,6.438253893160986e8
2016,CHI,1.486452743770269e9
2016,MAF,2.0028342259276488e8
2016,SSA,9.136805770606738e8
2016,SIS,5.433993766247403e7
2017,USA,2.980071474180031e8
2017,CAN,3.358616344689873e7
2017,WEU,3.957156668933408e8
2017,JPK,1.9721504880067834e8
2017,ANZ,2.4093187966182034e7
2017,EEU,1.270688296866278e8
2017,FSU,2.9409120942391264e8
2017,MDE,3.329475769168125e8
2017,CAM,1.584446564495532e8
2017,LAM,4.25711981187427e8
2017,SAS,1.726672828290771e9
2017,SEA,6.509058113267478e8
2017,CHI,1.4953662072854793e9
2017,MAF,2.0418387487481448e8
2017,SSA,9.313712188927442e8
2017,SIS,5.479913539628156e7
2018,USA,2.983407305013821e8
2018,CAN,3.3624570679089956e7
2018,WEU,3.9597984912445974e8
2018,JPK,1.9849761033024448e8
2018,ANZ,2.4251571375971377e7
2018,EEU,1.2715129825185753e8
2018,FSU,2.9427018720294183e8
2018,MDE,3.3844062955696714e8
2018,CAM,1.5975139646536234e8
2018,LAM,4.292225647284218e8
2018,SAS,1.7452230363955395e9
2018,SEA,6.579013903445044e8
2018,CHI,1.5039595597043676e9
2018,MAF,2.0805829442718366e8
2018,SSA,9.48941957442268e8
2018,SIS,5.524851952484126e7
2019,USA,2.9861513255936235e8
2019,CAN,3.3656317181846075e7
2019,WEU,3.962246253604785e8
2019,JPK,1.9968929536182877e8
2019,ANZ,2.4398879901694253e7
2019,EEU,1.272274672277555e8
2019,FSU,2.944349602080762e8
2019,MDE,3.438550982117362e8
2019,CAM,1.6102898455669245e8
2019,LAM,4.3265481553623086e8
2019,SAS,1.7635363567453947e9
2019,SEA,6.648076953317665e8
2019,CHI,1.5122263657708588e9
2019,MAF,2.1190230008980662e8
2019,SSA,9.663729070805771e8
2019,SIS,5.56877819661568e7
2020,USA,2.9883017909263045e8
2020,CAN,3.3681383021496855e7
2020,WEU,3.9644995867354906e8
2020,JPK,2.0078829087045646e8
2020,ANZ,2.4534894311390966e7
2020,EEU,1.2729732472634515e8
2020,FSU,2.9458548712751514e8
2020,MDE,3.4918427187506187e8
2020,CAM,1.6227654148894995e8
2020,LAM,4.360063712935371e8
2020,SAS,1.7816010849563308e9
2020,SEA,6.716203132817422e8
2020,CHI,1.520160614609603e9
2020,MAF,2.1571147059002006e8
2020,SSA,9.836440002463564e8
2020,SIS,5.611661913999754e7
2021,USA,2.9898572866721666e8
2021,CAN,3.3699751715268806e7
2021,WEU,3.966558121816371e8
2021,JPK,2.0179294150356776e8
2021,ANZ,2.465941025461303e7
2021,EEU,1.2736085980244794e8
2021,FSU,2.9472172908566654e8
2021,MDE,3.544214567901929e8
2021,CAM,1.6349320323040575e8
2021,LAM,4.3927491075819117e8
2021,SAS,1.7994055790694401e9
2021,SEA,6.783348543290571e8
2021,CHI,1.5277565112397814e9
2021,MAF,2.194813532562802e8
2021,SSA,1.0007350299823313e9
2021,SIS,5.653473364866585e7
2022,USA,2.991265256555539e8
2022,CAN,3.3716466310839646e7
2022,WEU,3.968421536526431e8
2022,JPK,2.027521720800769e8
2022,ANZ,2.477840511370893e7
2022,EEU,1.2741806245650254e8
2022,FSU,2.948436496538832e8
2022,MDE,3.59559990039629e8
2022,CAM,1.646781220262462e8
2022,LAM,4.424581562970926e8
2022,SAS,1.8169382687472823e9
2022,SEA,6.849469558504153e8
2022,CHI,1.5350084818090782e9
2022,MAF,2.232074715939044e8
2022,SSA,1.017625679902872e9
2022,SIS,5.694183321615363e7
2023,USA,2.992525481097925e8
