time,regions,loss
2064,MAF,5.384300713322929e10
2064,SSA,6.332627671282589e10
2064,SIS,-4.480700536917757e9
2065,USA,6.7719529134502464e10
2065,CAN,-2.7893815610039344e9
2065,WEU,6.975898194410168e10
2065,JPK,-1.222222511579911e11
2065,ANZ,-8.611409453127548e9
2065,EEU,3.0006917223635596e8
2065,FSU,8.353907330724289e10
2065,MDE,-1.1529019438162291e11
2065,CAM,-1.8388650696518394e10
2065,LAM,1.346822293339481e10
2065,SAS,-2.9985103450300793e10
2065,SEA,5.075529216944291e9
2065,CHI,-3.1480261716443665e11
2065,MAF,5.67101256489993e10
2065,SSA,6.562119615900701e10
2065,SIS,-4.568484352668329e9
2066,USA,7.135847095039267e10
2066,CAN,-2.6638295784306593e9
2066,WEU,7.538105921156148e10
2066,JPK,-1.2304747814634775e11
2066,ANZ,-8.646952261798151e9
2066,EEU,7.992173496529342e8
2066,FSU,8.73295474109013e10
2066,MDE,-1.172017836004154e11
2066,CAM,-1.820436429362388e10
2066,LAM,1.5028941322838812e10
2066,SAS,-2.95731733560433e10
2066,SEA,7.488185827312587e9
2066,CHI,-3.170295187717624e11
2066,MAF,5.971983210139275e10
2066,SSA,6.80262482306631e10
2066,SIS,-4.656609138742121e9
2067,USA,7.511062877406427e10
2067,CAN,-2.5307157550343256e9
2067,WEU,8.120427531920996e10
2067,JPK,-1.2382297584444992e11
2067,ANZ,-8.677322945350416e9
2067,EEU,1.326263529375117e9
2067,FSU,9.125337929084448e10
2067,MDE,-1.1909633491738164e11
2067,CAM,-1.797987393074395e10
2067,LAM,1.6678705446429262e10
2067,SAS,-2.90787049591385e10
2067,SEA,1.0071947677899975e10
2067,CHI,-3.190017912472267e11
2067,MAF,6.28789790232645e10
2067,SSA,7.054714617992673e10
2067,SIS,-4.744987461257826e9
2068,USA,7.89782334296682e10
2068,CAN,-2.389840180506474e9
2068,WEU,8.723347474580022e10
2068,JPK,-1.2454633984682832e11
2068,ANZ,-8.702287963838083e9
2068,EEU,1.8822197085760984e9
2068,FSU,9.531382941644278e10
2068,MDE,-1.2097045215733209e11
2068,CAM,-1.7712539369302734e10
2068,LAM,1.8421721203468124e10
2068,SAS,-2.849592081722594e10
2068,SEA,1.2836131091581564e10
2068,CHI,-3.2070365299487726e11
2068,MAF,6.6194744233981895e10
2068,SSA,7.318988599818976e10
2068,SIS,-4.833525031502731e9
2069,USA,8.296409091384575e10
2069,CAN,-2.2409907694719863e9
2069,WEU,9.347266940123758e10
2069,JPK,-1.2521526823237042e11
2069,ANZ,-8.721607952407322e9
2069,EEU,2.468221177892107e9
2069,FSU,9.951561597407434e10
2069,MDE,-1.2281968319637866e11
2069,CAM,-1.7399495457162964e10
2069,LAM,2.0262138292479317e10
