country,quintile,pop_quint,outmig_quint,inmig_quint,pop,gdp,gini,gdpshare_quint,ypc_quint,ypc_rel,fundregion,regionname
POL,q1,0.2,0.13566255361612928,0.301948587080231,38329.781,662.5675308389051,0.36523933,0.0650858864612066,5625.364137230915,0.32542943230603305,EEU,Central & Eastern Europe
PRT,q1,0.2,0.13066408355741818,0.22785610165500006,10596.058,230.60379712874197,0.37222191,0.06334172677081186,6892.583406980455,0.3167086338540593,WEU,Western Europe
PRY,q1,0.2,0.09986274271921818,0.16255503056780748,6248.02,29.996266772241036,0.526,0.03185682558809025,764.7109315087896,0.15928412794045127,LAM,South America
QAT,q1,0.2,0.19632640422196024,0.26143503049157196,1856.327,,0.464,0.043004215966774895,,,MDE,Middle East
ROU,q1,0.2,0.14705048972819107,0.36122169987097646,20471.864,234.34902635574073,0.2721,0.0911584884568206,5217.625276798669,0.4557924422841031,EEU,Central & Eastern Europe
RUS,q1,0.2,0.14946391937467537,0.4109478244396044,143479.274,2010.3775271968639,0.4104,0.05430520909368765,3804.520643576591,0.2715260454684382,FSU,Former Soviet Union
RWA,q1,0.2,0.09763951793710031,0.10239717980633418,10039.338,11.086926552034237,0.5734,0.024651971350215487,136.121821838597,0.1232598567510774,SSA,Sub-Saharan Africa
SAU,q1,0.2,0.10972623259328482,0.15243095971793622,27421.461,559.2363116192045,0.414804506,0.05331630015438531,5436.692641489974,0.26658150077192655,MDE,Middle East
SDN,q1,0.2,0.14036050971453257,0.07439022317158447,34545.013,88.12522030382412,0.4139,0.0535184878322402,682.6352229978461,0.267592439161201,SSA,Sub-Saharan Africa
SEN,q1,0.2,0.1434178889102836,0.07176082818945084,12678.148,21.58159603963768,0.4628,0.04323999201956249,368.030109966911,0.21619996009781242,SSA,Sub-Saharan Africa
SGP,q1,0.2,0.15594533097737298,0.2585687096125274,5131.172,263.8333946265791,0.533,0.030722736495015935,7898.472183058707,0.15361368247507967,SEA,Southeast Asia
SLB,q1,0.2,0.09812455262791395,0.10630229154141792,527.861,1.307751094944226,0.461,0.0435951123843115,540.0243241573061,0.2179755619215575,SIS,Small Island States
SLE,q1,0.2,0.15100876092473248,0.07179668981616516,6415.634,4.351883435502898,0.3999,0.05670706414561759,192.32903024963196,0.28353532072808796,SSA,Sub-Saharan Africa
