model,scenario,period,region,type,unit,en_5r,scen,gdp_5r,engdp_ratio_5r,country,rel_ratio_2015,convyear,rel_ratio,engdp_ratio,gdp_mig,en_mig,ypc_mig,ypc_nomig,enpc_mig,enpc_nomig,en_nomig,endiff,code
REMIND-MAGPIE,SSP5-8.5,2010,ASIA,Final Energy,EJ/yr,113.06,SSP5,18707.600999999995,0.006043532786486094,THA,1.1593699648476385,2125,1.1666140541588947,0.007050470285484744,530.367,3.739336773901687,,,,0.0,,,764
REMIND-MAGPIE,SSP5-8.5,2020,ASIA,Final Energy,EJ/yr,155.63,SSP5,37248.80900000001,0.0041781201648621825,THA,1.1593699648476385,2125,1.1521258755363823,0.004813720353038056,843.089,4.058394678722502,12032.473767592046,11958.423203029453,57.920963872454344,57.81829436380504,4.035537370959276,0.0056640059704842205,764
REMIND-MAGPIE,SSP5-8.5,2030,ASIA,Final Energy,EJ/yr,215.85,SSP5,73403.721,0.0029405866223048828,THA,1.1593699648476385,2125,1.1376376969138697,0.0033453221925746623,1526.558,5.106828355652391,21052.316216931806,21018.696684454615,70.42678064560143,70.38016788983325,5.0138735560834675,0.018539518104946806,764
REMIND-MAGPIE,SSP5-8.5,2040,ASIA,Final Energy,EJ/yr,276.37,SSP5,122787.31,0.00225080262773083,THA,1.1593699648476385,2125,1.1231495182913571,0.0025279878871048026,2544.382,6.432166876167492,34453.243792189074,34597.028212817044,87.09738297812272,87.2541804435425,6.210837431349102,0.03563600678086232,764
REMIND-MAGPIE,SSP5-8.5,2050,ASIA,Final Energy,EJ/yr,325.82,SSP5,172661.36499999996,0.0018870463580546815,THA,1.1593699648476385,2125,1.1086613396688445,0.002092095343338117,3660.052,7.657177745575362,49447.29306069807,49971.79226904203,103.44845155296163,103.83267737841052,7.233163648185234,0.05862083564174747,764
REMIND-MAGPIE,SSP5-8.5,2060,ASIA,Final Energy,EJ/yr,354.5,SSP5,218666.31000000008,0.00162119166871202,THA,1.1593699648476385,2125,1.0941731610463319,0.0017738644128166086,4772.594,8.46593465342207,64558.74367316913,65725.07620600928,114.51845793798411,114.88524632716386,7.762945540374872,0.09055700692359236,764
REMIND-MAGPIE,SSP5-8.5,2070,ASIA,Final Energy,EJ/yr,369.5,SSP5,261623.26300000004,0.0014123361805177086,THA,1.1593699648476385,2125,1.0796849824238193,0.0015248781642387861,5782.984,8.818346025742272,77838.87033199829,79797.3455972771,118.69479369827846,118.61310481917337,7.786743613084302,0.13248187739538997,764
REMIND-MAGPIE,SSP5-8.5,2080,ASIA,Final Energy,EJ/yr,379.29999999999995,SSP5,298905.98699999996,0.0012689608656115676,THA,1.1593699648476385,2125,1.0651968038013067,0.0013516930581983812,6609.328,8.93378277695619,87513.40678930035,90316.01321529852,118.29126445638838,114.93855966208751,7.397942588458644,0.20760369117943345,764
REMIND-MAGPIE,SSP5-8.5,2090,ASIA,Final Energy,EJ/yr,374.3,SSP5,331389.07,0.0011294880667005705,THA,1.1593699648476385,2125,1.050708625178794,0.0011867628537188105,7243.77,8.596637156882709,93570.2001231447,96930.64148818437,111.04563772118343,100.60294947436923,6.396709549034848,0.3439155070249815,764
REMIND-MAGPIE,SSP5-8.5,2100,ASIA,Final Energy,EJ/yr,367.48,SSP5,358050.15100000007,0.0010263366709207169,THA,1.1593699648476385,2125,1.0362204465562814,0.0010635110434585526,7686.076,8.174226706861738,96335.14138262218,100172.8409227004,102.45348673355971,90.52770213308773,5.716103224672589,0.43003483064810233,764
REMIND-MAGPIE,SSP5-8.5,2010,REF,Final Energy,EJ/yr,18.68,SSP5,2854.636,0.006543741478773476,TJK,0.7693436646902745,2125,0.7588592858125597,0.004965778985124064,13.333,0.06620873120865914,,,,0.0,,,762
REMIND-MAGPIE,SSP5-8.5,2020,REF,Final Energy,EJ/yr,21.43,SSP5,4312.129,0.004969702900817671,TJK,0.7693436646902745,2125,0.7798280435679893,0.0038755136902588055,22.502,0.08720680905820363,2417.0285458136354,1658.2904269538608,9.367227219047077,8.023024172339262,0.07561581073774826,0.1532880254455702,762
REMIND-MAGPIE,SSP5-8.5,2030,REF,Final Energy,EJ/yr,25.4,SSP5,7063.438,0.0035959825795880136,TJK,0.7693436646902745,2125,0.8007968013234189,0.002879651347348818,47.14,0.1357467645140233,4589.393941734497,3234.4595359835707,13.215854447830248,10.81541230445055,0.11682840179180978,0.16193290699915885,762
REMIND-MAGPIE,SSP5-8.5,2040,REF,Final Energy,EJ/yr,29.97,SSP5,10752.672999999999,0.0027872139327588595,TJK,0.7693436646902745,2125,0.8217655590788484,0.00229043641572594,90.689,0.20771738810576976,8379.846251467696,5515.307671615072,19.19350501254612,14.676046603812914,0.17419583268905028,0.19243603534739773,762
REMIND-MAGPIE,SSP5-8.5,2050,REF,Final Energy,EJ/yr,32.18,SSP5,13750.372000000001,0.0023403003206022353,TJK,0.7693436646902745,2125,0.842734316834278,0.0019722513918697666,133.993,0.26426788075080565,12131.339178147617,6270.054503785504,23.926050579345866,15.86630371797211,0.2006422330600135,0.3171099459990623,762
REMIND-MAGPIE,SSP5-8.5,2060,REF,Final Energy,EJ/yr,32.68,SSP5,16385.307999999997,0.0019944696797887474,TJK,0.7693436646902745,2125,0.8637030745897076,0.0017226295946094908,163.579,0.2817860264566259,15071.924676148068,3291.2082191495188,25.96334349485773,10.915949961531703,0.1421461113474637,0.982368872320571,762
REMIND-MAGPIE,SSP5-8.5,2070,REF,Final Energy,EJ/yr,32.01,SSP5,19086.123,0.0016771347433944545,TJK,0.7693436646902745,2125,0.8846718323451372,0.0014837138665284636,181.621,0.2694735961527661,17484.38602759327,5163.396771463846,25.94182599687666,14.121073154966986,0.1849046049918897,0.4573655218840318,762
REMIND-MAGPIE,SSP5-8.5,2080,REF,Final Energy,EJ/yr,29.98,SSP5,21136.704999999998,0.0014183856944589993,TJK,0.7693436646902745,2125,0.9056405901005669,0.0012845476573200504,195.2,0.2507437027088738,20181.806644043754,6564.280046531547,25.92449244509263,16.330305725656917,0.20985500331458115,0.1948426234708298,762
REMIND-MAGPIE,SSP5-8.5,2090,REF,Final Energy,EJ/yr,26.27,SSP5,23022.379,0.001141063658104143,TJK,0.7693436646902745,2125,0.9266093478559965,0.0010573202520980575,212.875,0.225077048665374,24343.630574034687,8958.900489784164,25.739013615520335,19.92398768225662,0.2450749686705157,-0.08159919437560903,762
REMIND-MAGPIE,SSP5-8.5,2100,REF,Final Energy,EJ/yr,23.08,SSP5,24743.439000000002,0.0009327725220410953,TJK,0.7693436646902745,2125,0.947578105611426,0.0008838748194020931,240.345,0.21243489346919608,31126.227920499183,13470.101364922026,27.511689081899608,24.853570190840003,0.28698317521985034,-0.25976533883404407,762
REMIND-MAGPIE,SSP5-8.5,2010,REF,Final Energy,EJ/yr,18.68,SSP5,2854.636,0.006543741478773476,TKM,1.7801414595193177,2125,1.815602434952014,0.011880832962557616,37.42,0.444580769458906,,,,0.0,,,795
REMIND-MAGPIE,SSP5-8.5,2020,REF,Final Energy,EJ/yr,21.43,SSP5,4312.129,0.004969702900817671,TKM,1.7801414595193177,2125,1.7446804840866215,0.00867054366276526,82.77,0.7176608989670805,13573.602279733124,13613.781509930803,117.69051122743612,117.77616547327014,0.7219319521949498,-0.005916143779041261,795
REMIND-MAGPIE,SSP5-8.5,2030,REF,Final Energy,EJ/yr,25.4,SSP5,7063.438,0.0035959825795880136,TKM,1.7801414595193177,2125,1.6737585332212288,0.006018806527900324,158.831,0.9559730596329363,22833.597729570072,22913.135952792098,137.43100707018635,137.473752747638,0.9779574629732161,-0.022479917759860468,795
REMIND-MAGPIE,SSP5-8.5,2040,REF,Final Energy,EJ/yr,29.97,SSP5,10752.672999999999,0.0027872139327588595,TKM,1.7801414595193177,2125,1.6028365823558364,0.00446744845427778,243.738,1.0888869513487576,31847.047485336207,31980.907425278026,142.27504306167629,142.10789712538798,1.1347782651244962,-0.040440776128809586,795
REMIND-MAGPIE,SSP5-8.5,2050,REF,Final Energy,EJ/yr,32.18,SSP5,13750.372000000001,0.0023403003206022353,TKM,1.7801414595193177,2125,1.531914631490444,0.003585140303212341,314.19,1.1264152318662854,37660.049918079225,37843.115168387754,135.01656278229447,134.21834513391488,1.1921462105361094,-0.05513667542529421,795
REMIND-MAGPIE,SSP5-8.5,2060,REF,Final Energy,EJ/yr,32.68,SSP5,16385.307999999997,0.0019944696797887474,TKM,1.7801414595193177,2125,1.4609926806250515,0.00291390560389995,365.394,1.0647236242314184,41135.17381718547,41354.93666569679,119.86401350329524,118.51990588439165,1.1460158380273657,-0.070934633796925,795
REMIND-MAGPIE,SSP5-8.5,2070,REF,Final Energy,EJ/yr,32.01,SSP5,19086.123,0.0016771347433944545,TKM,1.7801414595193177,2125,1.3900707297596588,0.0023313359166556077,408.689,0.9527913444420637,43971.998891166,44212.455996556804,102.51350034211585,99.42098156607352,1.0300944624653654,-0.07504468846312318,795
REMIND-MAGPIE,SSP5-8.5,2080,REF,Final Energy,EJ/yr,29.98,SSP5,21136.704999999998,0.0014183856944589993,TKM,1.7801414595193177,2125,1.3191487788942664,0.001871061756846685,437.669,0.8189057280573317,45345.81713201841,45602.14696021696,84.84482426868287,78.08447273693864,0.8608926937950896,-0.04877142765919629,795
REMIND-MAGPIE,SSP5-8.5,2090,REF,Final Energy,EJ/yr,26.27,SSP5,23022.379,0.001141063658104143,TKM,1.7801414595193177,2125,1.2482268280288737,0.0014243062705343575,458.003,0.6523365448235473,46074.593631107244,46335.34662987679,65.62433262110842,59.55587316742134,0.6938885481299376,-0.059882820401597536,795
REMIND-MAGPIE,SSP5-8.5,2100,REF,Final Energy,EJ/yr,23.08,SSP5,24743.439000000002,0.0009327725220410953,TKM,1.7801414595193177,2125,1.1773048771634813,0.0010981576394830624,474.734,0.5213327688223521,46691.19430627638,46927.37784756295,51.274291724025474,45.77763300604653,0.5607100456485647,-0.07022752157162715,795
REMIND-MAGPIE,SSP5-8.5,2010,LAM,Final Energy,EJ/yr,23.57,SSP5,5813.025,0.004054687533599116,TTO,4.49527995922655,2125,4.654156321009575,0.018871149614219047,31.079,0.5864964588603138,,,,0.0,,,780
REMIND-MAGPIE,SSP5-8.5,2020,LAM,Final Energy,EJ/yr,31.13,SSP5,8395.646,0.003707874295795701,TTO,4.49527995922655,2125,4.336403597443525,0.016078839435156856,38.043,0.6116872886316722,28237.914394664855,28125.04322991952,454.03289153552066,453.5731569399496,0.6295954439607351,-0.02844390870493607,780
