region,quint,age,ageall,agemig_reg,index
USA,4,25,27,0.17715739608093722,1
USA,4,25,28,0.09070458679343986,1
USA,4,25,29,0.03826599755348244,1
USA,4,30,30,0.2981589027560306,1
USA,4,30,31,0.1877618746218735,1
USA,4,30,32,0.10865849225802864,1
USA,4,30,33,0.055633148036110656,1
USA,4,30,34,0.023470234327734187,1
USA,4,35,35,0.1776364097223846,1
USA,4,35,36,0.11186432798844045,1
USA,4,35,37,0.06473630091923638,1
USA,4,35,38,0.03314498607064903,1
USA,4,35,39,0.013983040998555057,1
USA,4,40,40,0.10215540950268814,1
USA,4,40,41,0.0643311033602934,1
USA,4,40,42,0.03722864777794757,1
USA,4,40,43,0.019061067662309156,1
USA,4,40,44,0.008041387920036676,1
USA,4,45,45,0.055540343494995356,1
USA,4,45,46,0.034975843133874626,1
USA,4,45,47,0.020240649961733,1
USA,4,45,48,0.010363212780407296,1
USA,4,45,49,0.004371980391734328,1
USA,4,50,50,0.031944896625639235,1
USA,4,50,51,0.02011690283130634,1
USA,4,50,52,0.011641726175524501,1
USA,4,50,53,0.005960563801868544,1
USA,4,50,54,0.0025146128539132923,1
USA,4,55,55,0.01944356311860362,1
USA,4,55,56,0.01224434295515563,1
USA,4,55,57,0.007085846617566917,1
USA,4,55,58,0.0036279534681942617,1
USA,4,55,59,0.0015305428693944538,1
USA,4,60,60,0.011125900195205023,1
USA,4,60,61,0.007006397790566429,1
USA,4,60,62,0.004054628351022239,1
USA,4,60,63,0.0020759697157233864,1
USA,4,60,64,0.0008757997238208037,1
USA,4,65,65,0.005946553884065798,1
USA,4,65,66,0.0037447686267003282,1
USA,4,65,67,0.002167111473784912,1
USA,4,65,68,0.001109561074577875,1
USA,4,65,69,0.00046809607833754103,1
USA,4,70,70,0.008139520650103328,1
USA,4,70,71,0.005125762275283729,1
USA,4,70,72,0.002966297613011417,1
USA,4,70,73,0.0015187443778618454,1
USA,4,70,74,0.0006407202844104661,1
USA,4,75,75,0.0,1
USA,4,75,76,0.0,1
USA,4,75,77,0.0,1
USA,4,75,78,0.0,1
USA,4,75,79,0.0,1
USA,4,80,80,0.0,1
USA,4,80,81,0.0,1
USA,4,80,82,0.0,1
USA,4,80,83,0.0,1
USA,4,80,84,0.0,1
USA,4,85,85,0.0,1
USA,4,85,86,0.0,1
USA,4,85,87,0.0,1
USA,4,85,88,0.0,1
USA,4,85,89,0.0,1
USA,4,90,90,0.0,1
USA,4,90,91,0.0,1
USA,4,90,92,0.0,1
USA,4,90,93,0.0,1
USA,4,90,94,0.0,1
USA,4,95,95,0.0,1
USA,4,95,96,0.0,1
USA,4,95,97,0.0,1
USA,4,95,98,0.0,1
USA,4,95,99,0.0,1
USA,4,100,100,0.0,1
USA,4,100,101,0.0,1
USA,4,100,102,0.0,1
USA,4,100,103,0.0,1
USA,4,100,104,0.0,1
USA,4,105,105,0.0,1
USA,4,105,106,0.0,1
USA,4,105,107,0.0,1
USA,4,105,108,0.0,1
USA,4,105,109,0.0,1
USA,4,110,110,0.0,1
USA,4,110,111,0.0,1
USA,4,110,112,0.0,1
USA,4,110,113,0.0,1
USA,4,110,114,0.0,1
USA,4,115,115,0.0,1
USA,4,115,116,0.0,1
USA,4,115,117,0.0,1
USA,4,115,118,0.0,1
USA,4,115,119,0.0,1
USA,4,120,120,0.0,1
USA,5,0,0,0.07091649890896215,1
USA,5,0,1,0.07091649890896215,1
USA,5,0,2,0.04334749322063701,1
USA,5,0,3,0.02219391652896615,1
USA,5,0,4,0.009363058535657595,1
USA,5,5,5,0.1562681937038206,1
USA,5,5,6,0.09840795871727478,1
USA,5,5,7,0.056949050183608095,1
USA,5,5,8,0.029157913694007342,1
USA,5,5,9,0.012300994839659348,1
USA,5,10,10,0.46514732438609796,1
