country,quintile,pop_quint,outmig_quint,inmig_quint,pop,gdp,gdpshare_quint,gini,ypc_quint,ypc_rel,fundregion,regionname
BEL,q5,0.19999999999999984,0.2900067614219043,0.17442486762843246,10938.739,357.4760039013982,0.36537793390238726,0.27500149,59702.422612503426,1.8268896695119368,WEU,Western Europe
BEN,q1,0.2,0.13078188040247057,0.07117815185580427,9199.259,12.601266759843224,0.037287490528794785,0.4944,255.38449072825907,0.18643745264397393,SSA,Sub-Saharan Africa
BEN,q2,0.2,0.13078188040247057,0.07117815185580427,9199.259,12.601266759843224,0.07879599298339413,0.4944,539.6789715293831,0.3939799649169707,SSA,Sub-Saharan Africa
BEN,q3,0.2,0.13078188040247057,0.07117815185580427,9199.259,12.601266759843224,0.12961103703326565,0.4944,887.7145717258854,0.6480551851663283,SSA,Sub-Saharan Africa
BEN,q4,0.2,0.2291982665832736,0.10572887773618936,9199.259,12.601266759843224,0.21454627926709377,0.4944,1469.4416677345805,1.0727313963354688,SSA,Sub-Saharan Africa
BEN,q5,0.2,0.3784560922093146,0.6807366666963977,9199.259,12.601266759843224,0.5397592001874516,0.4944,3696.84648928881,2.698796000937258,SSA,Sub-Saharan Africa
BFA,q1,0.2,0.15606288185372716,0.05883372670710384,15605.217,18.55280683067076,0.04427067309284889,0.4576,263.1636734546528,0.2213533654642445,SSA,Sub-Saharan Africa
BFA,q2,0.2,0.15606288185372716,0.05883372670710384,15605.217,18.55280683067076,0.08818267701056744,0.4576,524.1952650797772,0.4409133850528372,SSA,Sub-Saharan Africa
BFA,q3,0.2,0.15606288185372716,0.05883372670710384,15605.217,18.55280683067076,0.13908253147610258,0.4576,826.7656066547544,0.6954126573805129,SSA,Sub-Saharan Africa
BFA,q4,0.2,0.15606288185372716,0.05883372670710384,15605.217,18.55280683067076,0.2205255543702238,0.4576,1310.8975067303918,1.1026277718511193,SSA,Sub-Saharan Africa
BFA,q5,0.19999999999999998,0.37574847258509125,0.7646650931715847,15605.217,18.55280683067076,0.5079385640502573,0.4576,3019.4024410787465,2.5396928202512865,SSA,Sub-Saharan Africa
BGD,q1,0.2,0.12765687007555254,0.08804068377273072,147575.43,221.29653749671897,0.06148108497517518,0.3798,460.9693912647864,0.3074054248758759,SAS,South Asia
BGD,q2,0.2,0.12765687007555254,0.08804068377273072,147575.43,221.29653749671897,0.10851403044481023,0.3798,813.6103417503188,0.5425701522240511,SAS,South Asia
BGD,q3,0.2,0.17028835228128905,0.11162621560032517,147575.43,221.29653749671897,0.15726541165511249,0.3798,1179.1356822498346,0.7863270582755625,SAS,South Asia
BGD,q4,0.2,0.2425283741751527,0.16139419398516752,147575.43,221.29653749671897,0.22871909469273022,0.3798,1714.8770535476465,1.1435954734636513,SAS,South Asia
BGD,q5,0.19999999999999976,0.3318695333924531,0.5508982228690459,147575.43,221.29653749671897,0.4440203782321719,0.3798,3329.1508037877024,2.2201018911608594,SAS,South Asia
BGR,q1,0.2,0.18591565993140252,0.3903390983629241,7425.008,86.64807456732147,0.06525395267060549,0.36457249,3807.4904140272247,0.3262697633530275,EEU,Central & Eastern Europe
BGR,q2,0.2,0.1287659086519968,0.21190489862113407,7425.008,86.64807456732147,0.11253400748497769,0.36457249,6566.225296940999,0.5626700374248884,EEU,Central & Eastern Europe
BGR,q3,0.2,0.21622180972518026,0.07554633361225657,7425.008,86.64807456732147,0.1605023459717141,0.36457249,9365.120712319173,0.8025117298585704,EEU,Central & Eastern Europe
